idopont;szalloda;szobaszam;foglalo_nev
2024-6-5;1;832;asd;
2024-5-23;4;726;teszt;
2024-6-11;3;183;teszt;
2024-5-9;2;821;teszt;
2024-6-16;4;726;teszt;
2024-5-29;3;123;teszt;
2024-6-9;1;564;teszt;
2024-5-14;2;449;teszt;
2024-6-26;4;396;teszt;
2024-5-7;1;278;teszt;
2024-5-28;2;689;teszt;
2024-6-21;1;247;teszt;
2024-5-11;4;726;teszt;
2024-6-4;3;183;teszt;
2024-5-26;2;821;teszttt;
2024-6-23;1;564;teszt;
2024-6-18;3;736;teszt;
2024-5-31;4;884;teszt;
2024-6-14;2;449;teszt;
2024-5-19;1;247;teszt;
2024-6-2;3;123;teszt;
2024-5-12;4;726;teszt;
2024-6-7;2;689;teszt;
2024-5-30;1;278;teszt;
2024-6-25;3;736;teszt;
2024-6-28;2;449;teszt;
2024-5-21;1;564;teszt;
2024-6-13;4;726;teszt;
2024-5-5;3;183;teszt;
2024-6-20;2;821;teszt;
2024-6-30;1;247;teszt;
2024-5-17;4;396;teszt;
2024-6-8;2;689;teszt;
2024-5-24;1;278;teszt;
2024-6-27;3;123;teszt;
2024-5-15;2;821;teszt;
2024-6-10;4;884;teszt;
2024-6-1;3;736;teszt;
2024-5-18;1;564;teszt;
2024-6-12;2;449;teszt;
2024-5-3;4;726;teszt;
2024-6-22;3;183;teszt;
2024-6-15;1;247;teszttt;
2024-5-4;2;689;teszt;
2024-6-17;3;123;teszt;
2024-6-24;1;832;teszt;
2024-5-10;2;821;asd;
2024-6-3;4;726;teszt;
2024-5-13;2;821;teszt;
2024-6-6;1;832;teszt;
2024-6-29;4;396;teszt;
2024-6-3;1;278;teszt;
2024-6-17;2;821;teszt;
2024-5-1;4;726;teszt;
2024-6-14;3;123;teszt;
2024-5-25;1;247;teszt;
2024-6-28;2;821;teszt;
2024-5-18;3;736;teszt;
2024-6-9;4;396;teszt;
2024-5-7;1;564;teszttt;
2024-6-30;3;183;teszt;
2024-5-21;2;689;teszt;
2024-6-8;4;884;teszt;
2024-5-14;1;278;teszt;
2024-6-11;3;183;teszt;
2024-5-17;2;821;teszt;
2024-6-24;4;726;teszt;
2024-5-4;3;123;teszt;
2024-6-27;1;247;teszt;
2024-5-28;2;821;teszt;
2024-6-23;4;396;teszt;
2024-5-3;3;736;teszt;
2024-6-16;1;832;teszt;
2024-5-11;4;726;teszt;
2024-6-20;2;821;teszt;
2024-5-5;3;123;teszt;
2024-6-18;1;564;teszt;
2024-5-29;2;689;teszt;
2024-6-2;4;396;teszt;
2024-5-15;3;736;teszt;
2024-6-25;1;278;teszt;
2024-5-12;2;821;teszt;
2024-6-19;4;884;teszt;
2024-5-6;3;123;teszt;
2024-6-21;1;564;teszt;
2024-5-16;2;821;teszt;
2024-6-1;4;396;teszt;
2024-5-26;3;183;teszt;
2024-6-15;1;247;teszt;
2024-5-9;2;821;teszt;
2024-6-22;4;726;teszt;
2024-5-2;3;736;teszt;
2024-6-7;1;832;teszt;
2024-5-24;2;821;teszt;
2024-6-10;3;123;teszt;
2024-5-20;4;396;teszt;
2024-6-5;1;564;teszt;
2024-5-30;2;689;teszt;
2024-6-13;4;884;teszt;
2024-5-8;3;123;teszt;
2024-6-26;1;247;teszt;
2024-5-27;2;821;teszt;
2024-6-12;3;736;teszt;
2024-5-23;1;832;teszt;
2024-6-4;2;821;teszt;
2024-5-19;4;396;teszt;
2024-6-27;3;183;teszt;
2024-5-25;1;278;teszt;
2024-6-22;2;821;teszt;
2024-5-16;3;123;teszt;
2024-6-9;4;396;teszt;
2024-5-4;1;564;teszt;
2024-6-17;2;821;teszt;
2024-5-10;3;183;teszt;
2024-6-3;1;832;teszt;
2024-5-20;2;821;teszt;
2024-6-13;4;396;teszt;
2024-5-8;3;736;teszt;
2024-6-1;1;278;teszt;
2024-5-26;2;821;teszt;
2024-6-19;3;183;teszt;
2024-5-14;1;564;teszt;
2024-6-7;2;821;teszt;
2024-5-2;4;396;teszt;
2024-6-23;3;736;teszt;
2024-5-18;1;278;teszt;
2024-6-11;2;821;teszt;
2024-5-6;4;396;teszt;
2024-6-29;3;183;teszt;
2024-5-24;1;832;teszt;
2024-6-17;2;821;teszt;
2024-5-9;3;123;teszt;
2024-6-2;1;278;teszt;
2024-5-19;2;821;teszt;
2024-6-12;3;736;teszt;
2024-5-7;1;564;teszt;
2024-6-30;2;821;teszt;
2024-5-25;4;396;teszt;
2024-6-18;3;183;teszt;
2024-5-13;1;832;teszt;
2024-6-6;2;821;teszt;
2024-6-5;1;832;teszt;
2024-5-23;4;726;teszt;
2024-6-11;3;183;teszt;
2024-5-9;2;821;teszt;
2024-6-16;4;726;teszt;
2024-5-29;3;123;teszt;
2024-6-9;1;564;teszt;
2024-5-14;2;449;teszt;
2024-6-26;4;396;teszt;
2024-5-7;1;278;teszt;
2024-5-28;2;689;teszt;
2024-6-21;1;247;teszt;
2024-5-11;4;726;teszt;
2024-6-4;3;183;teszt;
2024-5-26;2;821;teszt;
2024-6-23;1;564;teszt;
2024-6-18;3;736;teszt;
2024-5-31;4;884;teszt;
2024-6-14;2;449;teszt;
2024-5-19;1;247;teszt;
2024-6-2;3;123;teszt;
2024-5-12;4;726;teszt;
2024-6-7;2;689;teszt;
2024-5-30;1;278;teszt;
2024-6-25;3;736;teszt;
2024-6-28;2;449;teszt;
2024-5-21;1;564;teszt;
2024-6-13;4;726;teszt;
2024-5-5;3;183;teszt;
2024-6-20;2;821;teszt;
2024-6-30;1;247;teszt;
2024-5-17;4;396;teszt;
2024-6-8;2;689;teszt;
2024-5-24;1;278;teszt;
2024-6-27;3;123;teszt;
2024-5-15;2;821;teszt;
2024-6-10;4;884;teszt;
2024-6-1;3;736;teszt;
2024-5-18;1;564;teszt;
2024-6-12;2;449;teszt;
2024-5-3;4;726;teszt;
2024-6-22;3;183;teszt;
2024-6-15;1;247;teszt;
2024-5-4;2;689;teszt;
2024-6-17;3;123;teszt;
2024-6-24;1;832;teszt;
2024-5-10;2;821;teszt;
2024-5-22;1;832;asd;
